# Incremental upstream inventory — 2026-09-23

Base inventory: `UPSTREAM-INVENTORY-20260922.tsv` at `1c0a69c0ceddb2fd21581c17ab09f6c500b89ba1`. Current upstream/main: `20a94fbb567b62208751292ed7786b24a7e7c0fe`. This file lists newly reachable non-empty commits only; empty merge wrappers are excluded by `upstream-daily.mjs`. Each `review` row still requires a TAKE/HAND-MERGE/SKIP disposition.

Columns: sha | date | route-hint | state | backend-files | frontend-files | other-files | subject | affected-paths
sha	date	route-hint	state	backend-files	frontend-files	other-files	subject	affected-paths
277aa1411	2026-09-01	MERGE	review	3	0	0	fix(openai): end streaming at terminal event instead of waiting for upstream EOF	backend/internal/service/openai_gateway_passthrough.go;backend/internal/service/openai_gateway_response_flush_test.go;backend/internal/service/openai_gateway_response_handling.go
6f9fde093	2026-09-02	MERGE	review	2	0	0	style(openai): apply De Morgan's law to satisfy staticcheck QF1001	backend/internal/service/openai_gateway_passthrough.go;backend/internal/service/openai_gateway_response_handling.go
d4e8ddb0c	2026-09-09	MERGE	review	2	0	0	fix(grok): allow quota queries during account cooldowns	backend/internal/service/grok_quota_cooldown_test.go;backend/internal/service/grok_quota_service.go
f744375a4	2026-09-11	MERGE	review	5	0	0	fix(openai): preserve GPT-5.5 requests carrying Responses Lite markers	backend/internal/service/openai_gateway_forward.go;backend/internal/service/openai_gateway_passthrough.go;backend/internal/service/openai_lite_mapped_gpt55.go;backend/internal/service/openai_lite_mapped_gpt55_test.go;backend/internal/service/openai_ws_http_bridge.go
5d781ee6b	2026-09-12	MERGE	review	2	0	0	fix(antigravity): handle prefixItems and ensure array schema has valid items fallback	backend/internal/pkg/antigravity/schema_cleaner.go;backend/internal/pkg/antigravity/schema_cleaner_test.go
69d49744c	2026-09-13	MERGE	review	2	0	0	fix(antigravity): address code review feedback on schema cleaner	backend/internal/pkg/antigravity/schema_cleaner.go;backend/internal/pkg/antigravity/schema_cleaner_test.go
7511e4de5	2026-09-13	MERGE	review	1	0	0	fix(streaming): drop Anthropic ping keepalives before OpenAI conversion	backend/internal/service/gateway_forward_as_chat_completions.go
a985de062	2026-09-13	REBUILD	review	0	2	0	fix(ui): focus non-searchable select dropdowns	frontend/src/components/common/Select.vue;frontend/src/components/common/__tests__/Select.keyboard.spec.ts
7dace2fec	2026-09-13	REBUILD	review	0	2	0	fix(ui): discard unapplied date ranges on dismissal	frontend/src/components/common/DateRangePicker.vue;frontend/src/components/common/__tests__/DateRangePicker.dismiss.spec.ts
0e1329b52	2026-09-14	REBUILD	review	0	2	0	fix(ui): reset select highlight when search results change	frontend/src/components/common/Select.vue;frontend/src/components/common/__tests__/Select.searchHighlight.spec.ts
1e231ee2a	2026-09-15	MERGE	review	1	0	0	fix(antigravity): resolve golangci-lint errors in schema cleaner tests	backend/internal/pkg/antigravity/schema_cleaner_test.go
0952ce341	2026-09-17	MERGE	review	2	0	0	fix(apicompat): include streamed arguments in function_call_arguments.done	backend/internal/pkg/apicompat/anthropic_to_responses_response.go;backend/internal/pkg/apicompat/anthropic_to_responses_stream_test.go
e74c690ac	2026-09-17	MERGE	review	5	0	0	fix(openai): keep transport heartbeats outside semantic output	backend/internal/service/openai_capacity_shed_test.go;backend/internal/service/openai_gateway_passthrough.go;backend/internal/service/openai_visible_ttft_test.go;backend/internal/service/openai_ws_http_bridge.go;backend/internal/service/openai_ws_http_bridge_test.go
94225b5ed	2026-09-18	VERBATIM	review	0	3	0	fix(admin): align platform quota editor with supported platforms	frontend/src/api/admin/users.ts;frontend/src/components/admin/user/UserPlatformQuotaModal.vue;frontend/src/components/admin/user/__tests__/UserPlatformQuotaModal.spec.ts
c12d0131c	2026-09-15	MERGE	review	2	0	0	fix(gateway): list mixed antigravity models for gemini groups	backend/internal/handler/gateway_models_test.go;backend/internal/service/gateway_service.go
3fdd54ca1	2026-09-18	MERGE	review	3	0	0	fix(upstream): cancel response attempt before closing body	backend/internal/repository/http_upstream.go;backend/internal/repository/http_upstream_billing_lifecycle_test.go;backend/internal/repository/http_upstream_body_lifecycle_test.go
4805f069e	2026-09-18	MERGE	review	2	0	0	fix(scheduler): keep account RPM config in the scheduler projection	backend/internal/repository/scheduler_cache.go;backend/internal/repository/scheduler_cache_unit_test.go
9d5c8d961	2026-09-18	REBUILD	review	0	2	0	fix(dialog): keep body locked while another dialog is open	frontend/src/components/common/BaseDialog.vue;frontend/src/components/common/__tests__/BaseDialog.scrollLock.spec.ts
24f4736f6	2026-09-18	REBUILD	review	0	2	0	fix(upload): cancel superseded image reads	frontend/src/components/common/ImageUpload.vue;frontend/src/components/common/__tests__/ImageUpload.readOrder.spec.ts
9612a70c7	2026-09-18	NEW	review	0	2	0	fix(proxies): label newly expired proxies correctly	frontend/src/utils/__tests__/proxyExpiry.boundary.spec.ts;frontend/src/utils/proxyExpiry.ts
d054ee9af	2026-09-18	NEW	review	0	2	0	fix(ccswitch): trim trailing slashes before Antigravity path	frontend/src/utils/__tests__/ccswitchImport.antigravityUrl.spec.ts;frontend/src/utils/ccswitchImport.ts
7b282c4f1	2026-09-18	REBUILD	review	0	2	0	fix(announcements): ignore superseded fetch results	frontend/src/stores/__tests__/announcements.fetch.spec.ts;frontend/src/stores/announcements.ts
37238c098	2026-09-18	MERGE	review	2	0	0	fix(openai): honor error.status when classifying in-stream failures	backend/internal/service/openai_access_state_failover_test.go;backend/internal/service/openai_gateway_passthrough.go
f7280213f	2026-09-19	MERGE	review	2	0	0	fix(proxies): skip expiry writes from stale snapshots	backend/internal/repository/proxy_expiry_renewal_integration_test.go;backend/internal/repository/proxy_repo.go
4ccdead2a	2026-09-19	MERGE	review	3	0	0	fix(proxies): skip inactive fallback targets	backend/internal/repository/proxy_inactive_backup_integration_test.go;backend/internal/service/proxy_fallback.go;backend/internal/service/proxy_fallback_test.go
7e530c9d4	2026-09-19	MERGE	review	2	0	0	fix(openai): alias DeepSeek Responses input_image with url	backend/internal/service/openai_gateway_deepseek_input_image_test.go;backend/internal/service/openai_gateway_request_body.go
68aa26477	2026-09-19	MERGE	review	4	0	9	feat(simple): make startup default group creation optional	README.md;README_CN.md;backend/internal/config/config.go;backend/internal/config/config_test.go;backend/internal/repository/ent.go;backend/internal/repository/simple_mode_startup_test.go;deploy/.env.example;deploy/config.example.yaml;deploy/docker-compose.dev.yml;deploy/docker-compose.local.yml;deploy/docker-compose.standalone.yml;deploy/docker-compose.yml;deploy/tests/docker-compose-simple-mode-env-test.sh
6b09c74e3	2026-09-19	REBUILD	review	0	2	0	fix(users): keep numeric custom attribute values as strings	frontend/src/components/user/UserAttributeForm.vue;frontend/src/components/user/__tests__/UserAttributeForm.spec.ts
50f79e11f	2026-09-19	NEW	review	0	2	0	fix(users): show errors when group replacement fails	frontend/src/components/admin/user/GroupReplaceModal.vue;frontend/src/components/admin/user/__tests__/GroupReplaceModal.spec.ts
4d5a4ab0e	2026-09-19	REBUILD	review	0	2	0	fix(monitor): ignore stale template picker responses	frontend/src/components/admin/monitor/MonitorTemplateApplyPickerDialog.vue;frontend/src/components/admin/monitor/__tests__/MonitorTemplateApplyPickerDialog.spec.ts
26c09b7de	2026-09-19	REBUILD	review	0	2	0	fix(users): persist cleared custom attribute hints	frontend/src/components/user/UserAttributesConfigModal.vue;frontend/src/components/user/__tests__/UserAttributesConfigModal.spec.ts
3b0bb60ea	2026-09-19	NEW	review	0	2	0	fix(groups): require integer RPM overrides before adding	frontend/src/components/admin/group/GroupRPMOverridesModal.vue;frontend/src/components/admin/group/__tests__/GroupRPMOverridesModal.spec.ts
f6eeed3d5	2026-09-19	VERBATIM	review	0	2	0	ui(users): 禁用/启用用户后原地更新该行	frontend/src/views/admin/UsersView.vue;frontend/src/views/admin/__tests__/UsersView.spec.ts
ba26e543f	2026-09-17	REBUILD	review	0	2	0	fix(accounts): retry default mappings after a failed fetch	frontend/src/composables/__tests__/antigravityMappings.retry.spec.ts;frontend/src/composables/useModelWhitelist.ts
00591cbe9	2026-09-19	REBUILD	review	0	2	0	fix(settings): allow retrying failed initial admin settings loads	frontend/src/stores/__tests__/adminSettings.retry.spec.ts;frontend/src/stores/adminSettings.ts
cb2bb6084	2026-09-19	REBUILD	review	0	2	0	fix(users): wait for group configuration before enabling save	frontend/src/components/admin/user/UserAllowedGroupsModal.vue;frontend/src/components/admin/user/__tests__/UserAllowedGroupsModal.spec.ts
7bf3d0b58	2026-09-19	REBUILD	review	0	2	0	fix(search): wait for committed IME input before searching	frontend/src/components/common/SearchInput.vue;frontend/src/components/common/__tests__/SearchInput.spec.ts
